Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2010 [YR2010],2015 [YR2015]
Afghanistan,AFG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,37.2759070938167,50.0461907327433,62.9802080804115
Afghanistan,AFG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Albania,ALB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,87.9028778986161,88.0894923254456,91.3943331635801
Albania,ALB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,52.5171820870923,61.6638286105354,68.869979425596
Algeria,DZA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,91.1752584144257,92.3883299265188,93.4664265273344
Algeria,DZA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
American Samoa,ASM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.80485,99.1097,99.23164
American Samoa,ASM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Andorra,AND,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100
Andorra,AND,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Angola,AGO,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,39.0167749441363,40.0576898334985,41.0058676167972
Angola,AGO,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Antigua and Barbuda,ATG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,97.6712348276835,97.0887044830506,96.7391862762709
Antigua and Barbuda,ATG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Arab World,ARB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,80.8838796484045,84.3236381906193,86.9535985987162
Arab World,ARB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Argentina,ARG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.2443541672158,99.4409053756782,99.6273001896653
Argentina,ARG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,97.9967305456147,98.3430777803307,98.5274147955714
Armenia,ARM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.7458371995,97.6376546990975,98.9236524346622
Armenia,ARM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,43.8895823697293,57.8253501638437,60.5814461944262
Aruba,ABW,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,95.8972301161238,97.3056538767395,97.8690233809859
Aruba,ABW,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Australia,AUS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.7974,99.89190265,99.96870195
Australia,AUS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Austria,AUT,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100
Austria,AUT,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,98.1167403065825,98.4033273219116,98.6899143372408
Azerbaijan,AZE,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,79.1437533397933,81.7759709346621,84.3778721395599
Azerbaijan,AZE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,56.8083417793603,67.8523413150255,71.517164010822
"Bahamas, The",BHS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.1370113104747,97.890395897627,97.7917497324879
"Bahamas, The",BHS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Bahrain,BHR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9484114146144,99.9988785090134,100
Bahrain,BHR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,98.6890614307903,98.7388926397998,98.74
Bangladesh,BGD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,95.6032887548835,96.5023319394373,97.3271424809628
Bangladesh,BGD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,55.8934795250347,55.8214509769773,55.6732467087545
Barbados,BRB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.3963565727273,98.2490294931818,98.1311678295455
Barbados,BRB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Belarus,BLR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,97.9061587837481,97.9530877230252,98.0055556034675
Belarus,BLR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,82.024893075901,89.2119365160737,94.4286688569901
Belgium,BEL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100
Belgium,BEL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,99.4166666666667,98.8333333333333,98.3666666666667
Belize,BLZ,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,90.7310146688394,93.9186807920451,97.1288036440121
Belize,BLZ,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Benin,BEN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,62.435203424845,64.7590035000281,67.0172867018849
Benin,BEN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Bermuda,BMU,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9562250350488,99.9183071650594,99.9031400170636
Bermuda,BMU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Bhutan,BTN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,87.7818653418424,93.6171529882966,97.5586608517347
Bhutan,BTN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,30.0673522036099,32.3754401959006,34.1548043850168
Bolivia,BOL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,83.8745179837807,88.5552228681676,92.8816263578936
Bolivia,BOL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Bosnia and Herzegovina,BIH,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.7164056455155,97.2805522208584,97.6601861252389
Bosnia and Herzegovina,BIH,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,87.7123399819949,88.2184513886314,88.575493099588
Botswana,BWA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,77.8462713751684,78.560626273259,79.1739852456857
Botswana,BWA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Brazil,BRA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,95.0570181678085,96.2580782543772,97.4979425710048
Brazil,BRA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
British Virgin Islands,VGB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,97.2034246575344,99.1041095890412,99.8643835616439
British Virgin Islands,VGB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Brunei Darussalam,BRN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,99.50306,99.513212
Brunei Darussalam,BRN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Bulgaria,BGR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.6627708904527,99.4327692746251,99.2556350774102
Bulgaria,BGR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,97.1323687134955,96.9082067565916,96.5516131546263
Burkina Faso,BFA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,48.7980090719148,51.2903639759554,53.85759551611
Burkina Faso,BFA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Burundi,BDI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,53.5763495174029,54.7896359589192,55.9341198142855
Burundi,BDI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Cabo Verde,CPV,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,79.8929500811443,83.5067962654317,86.4593527322802
Cabo Verde,CPV,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Cambodia,KHM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,59.8980001120225,67.401310380331,74.9707956520782
Cambodia,KHM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,19.2003178818716,21.5804366929379,24.0987927544098
Cameroon,CMR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,58.7392367924678,62.0757945193602,65.2799662849759
Cameroon,CMR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Canada,CAN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9,99.4,98.9
